Order ID,Product,Quantity,Price,Date,Customer ID,Region
4001,Monitor,4,430.26,2024-02-18,G970,Oceania
4002,Mouse,3,18.09,2025-03-28,E139,North America
4003,Mouse,2,15.53,2024-12-02,C642,Europe
4004,HDD,3,96.88,2024-12-26,I346,South America
4005,SSD,1,297.69,2025-03-31,E965,Africa
4006,Graphics Card,2,519.31,2024-12-29,F326,Asia
4007,CPU,3,591.09,2024-02-23,A972,Europe
4008,Laptop,5,977.81,2024-07-24,A653,Africa
4009,SSD,3,303.43,2024-10-29,C145,Asia
4010,Monitor,1,201.84,2025-02-21,F218,South America
4011,SSD,4,299.73,2024-02-14,J706,Oceania
4012,RAM,5,193.21,2024-11-06,I585,South America
4013,Graphics Card,2,243.18,2025-05-05,J491,North America
4014,Keyboard,4,113.28,2025-03-22,J507,Asia
4015,HDD,4,104.21,2024-07-10,A692,Europe
4016,Laptop,1,1962.47,2024-01-10,E305,Europe
4017,Keyboard,4,60.2,2024-02-17,E934,Africa
4018,HDD,4,79.12,2024-04-21,C358,Africa
4019,Keyboard,5,113.64,2025-04-14,G868,Oceania
4020,Monitor,3,453.51,2025-03-02,A842,South America
4021,SSD,3,309.16,2025-02-22,J548,Asia
4022,Graphics Card,2,268.81,2024-06-21,I124,North America
4023,Graphics Card,5,505.62,2024-06-02,H543,Africa
4024,Webcam,2,67.43,2024-03-11,G745,North America
4025,SSD,2,294.0,2024-10-30,G194,North America
4026,HDD,4,145.24,2024-11-02,C730,South America
4027,Mouse,1,22.35,2025-04-24,I656,Oceania
4028,Mouse,4,41.43,2024-10-03,E592,South America
4029,Mouse,4,16.15,2024-06-18,D480,Asia
4030,RAM,3,153.57,2024-01-04,G615,Oceania
4031,Laptop,1,1502.48,2024-09-15,E796,Asia
4032,Graphics Card,4,721.5,2024-10-02,A312,Europe
4033,CPU,5,298.77,2025-04-10,G741,South America
4034,Mouse,1,40.54,2025-05-22,J473,Africa
4035,Webcam,3,49.76,2025-03-27,G328,South America
4036,Laptop,4,1811.03,2024-06-15,G913,North America
4037,Graphics Card,1,400.64,2025-03-29,F718,Africa
4038,Graphics Card,1,404.43,2024-04-03,C460,Oceania
4039,CPU,1,344.93,2024-11-12,D888,North America
4040,Graphics Card,3,686.19,2024-07-10,B852,Africa
4041,HDD,5,94.71,2025-04-23,H209,Asia
4042,Monitor,3,267.8,2024-01-04,H724,South America
4043,SSD,1,160.34,2024-10-13,A198,South America
4044,Graphics Card,4,654.67,2024-03-23,H311,Europe
4045,Laptop,2,843.74,2024-01-22,I503,Asia
4046,Mouse,4,12.19,2024-08-26,F147,Africa
4047,RAM,5,122.25,2025-05-26,F197,Asia
4048,Keyboard,5,109.53,2024-05-22,H818,Europe
4049,Webcam,2,50.09,2024-07-20,A388,Africa
4050,Laptop,5,1792.45,2024-03-16,F827,Oceania
4051,Keyboard,5,62.42,2024-04-05,E177,South America
4052,Monitor,2,292.34,2025-04-18,F215,Africa
4053,Graphics Card,4,251.98,2025-05-24,H118,South America
4054,CPU,2,570.77,2024-09-16,J533,South America
4055,Laptop,5,870.67,2024-11-18,C889,Africa
4056,HDD,5,90.46,2024-07-13,G156,South America
4057,Webcam,3,75.44,2024-11-28,E355,Asia
4058,HDD,3,149.59,2025-06-12,A777,North America
4059,Graphics Card,4,389.59,2025-02-25,J623,Oceania
4060,RAM,3,104.85,2024-04-24,I940,Africa
4061,CPU,1,300.09,2024-11-06,H382,Oceania
4062,Webcam,3,86.81,2025-04-13,D529,Africa
4063,SSD,1,377.55,2025-02-04,E329,Europe
4064,Laptop,4,1073.03,2024-10-27,A109,North America
4065,Graphics Card,5,763.46,2024-03-06,I133,Oceania
4066,Keyboard,3,61.42,2025-03-12,E230,Europe
4067,Webcam,2,76.67,2024-05-11,C935,North America
4068,HDD,2,117.29,2025-02-22,B252,Africa
4069,HDD,2,137.92,2025-04-06,D411,Asia
4070,Mouse,3,20.64,2024-07-28,C700,South America
4071,Mouse,1,36.46,2025-01-09,B858,North America
4072,Mouse,1,37.06,2025-01-30,F830,South America
4073,Webcam,4,58.68,2024-06-11,C248,North America
4074,HDD,5,47.2,2024-12-17,B750,Africa
4075,SSD,4,152.68,2024-12-24,C606,Oceania
4076,Graphics Card,3,250.52,2025-02-07,J574,Europe
4077,Laptop,3,1151.4,2024-12-29,J798,North America
4078,Mouse,4,23.26,2024-08-19,A330,Africa
4079,SSD,5,363.17,2024-01-29,C656,Oceania
4080,RAM,3,108.42,2024-06-20,A645,South America
4081,Laptop,5,1236.36,2024-07-06,D245,Asia
4082,Laptop,4,1522.77,2025-05-22,G187,South America
4083,SSD,4,238.09,2024-01-19,D167,North America
4084,SSD,1,384.43,2024-10-23,J782,Asia
4085,SSD,1,362.02,2024-07-09,D759,Oceania
4086,Mouse,5,35.28,2024-01-25,H874,North America
4087,HDD,1,48.71,2024-07-01,I925,North America
4088,Keyboard,3,59.48,2024-03-16,D812,Oceania
4089,Graphics Card,1,385.79,2024-05-11,J176,South America
4090,Monitor,3,216.59,2024-01-01,I113,Asia
4091,Mouse,3,27.46,2024-03-29,J571,North America
4092,Mouse,2,25.08,2024-04-11,J617,Asia
4093,Keyboard,4,71.02,2024-02-17,C710,Oceania
4094,Graphics Card,2,494.11,2024-04-05,D560,Europe
4095,Laptop,1,1054.34,2024-08-03,J602,Asia
4096,Keyboard,4,118.76,2025-04-13,C446,Africa
4097,HDD,2,140.34,2024-05-08,H272,South America
4098,CPU,3,475.33,2024-10-22,F929,Oceania
4099,Mouse,2,15.55,2024-09-14,I647,South America
4100,CPU,5,567.84,2025-03-23,D598,Europe
